,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal,SUBDISCIPLINE
0,2616,8347 242ND ST,BELLROSE,0.0,72618.0,30560682,54281.0,36081.0,8347 242ND ST BELLROSE NY 11426-1317,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,72618.0,NY,8347 242ND ST,11426-1317,11426.0,A23,Cultural & Ethnic Awareness
1,4037,347 FIFTH AVE,NEW YORK,70000.0,0.0,42565109,250560.0,36061.0,347 FIFTH AVE NEW YORK NY 10016-5010,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,250997.0,251826.0,NY,347 FIFTH AVE,10016-5010,10016.0,A23,Cultural & Ethnic Awareness
2,8524,PO BOX 5005,NEW YORK,0.0,0.0,61597372,2144017.0,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,8646218.0,8694155.0,NY,,10163-5005,10163.0,A60,Performing Arts
3,9342,PO BOX 22,BROOKLYN,129990.0,0.0,111195683,637522.0,36047.0,,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,67658.0,289367.0,NY,,11222-0022,11222.0,A23,Cultural & Ethnic Awareness
4,9531,730 BROADWAY,NEW YORK,0.0,0.0,111854964,1114131.0,36061.0,730 BROADWAY NEW YORK NY 10003-9502,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1420831.0,1522990.0,NY,730 BROADWAY,10003-9502,10003.0,A40,Visual Arts
5,9637,2366 CONEY ISLAND AVE,BROOKLYN,12480.0,0.0,112022650,173986.0,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,9052.0,142776.0,NY,2366 CONEY ISLAND AVE,11223-5002,11223.0,A40,Visual Arts
6,9661,8115 SURREY PL,JAMAICA,0.0,0.0,112099939,29972.0,36081.0,8115 SURREY PL JAMAICA NY 11432-1434,JAMAICA ESTATES ASSOCIATION INC,A23,21220.0,26179.0,NY,8115 SURREY PL,11432-1434,11432.0,A23,Cultural & Ethnic Awareness
7,9922,1110 BRONX RIVER AVE,BRONX,0.0,0.0,112579110,41292.0,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,47742.0,47742.0,NY,1110 BRONX RIVER AVE,10472-3102,10472.0,A65,Theater
8,10013,1401 BLONDELL AVE,BRONX,211957.0,0.0,112689446,355411.0,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECHNICAL,A60,336689.0,336689.0,NY,1401 BLONDELL AVE,10461-2622,10461.0,A60,Performing Arts
9,10015,1401 BLONDELL AVE,BRONX,222476.0,0.0,112691482,6525003.0,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,A40,6697959.0,6699427.0,NY,1401 BLONDELL AVE,10461-2622,10461.0,A40,Visual Arts
10,10087,4602 30TH AVE,ASTORIA,0.0,0.0,112803536,20933.0,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,8149.0,NY,4602 30TH AVE,11103-1264,11103.0,A23,Cultural & Ethnic Awareness
11,10251,7254 65TH PL,GLENDALE,0.0,0.0,113097379,160525.0,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,181171.0,181171.0,NY,7254 65TH PL,11385-6930,11385.0,A23,Cultural & Ethnic Awareness
12,10263,1848 CORNAGA AVE,FAR ROCKAWAY,22931.0,48854.0,113110485,45454.0,36081.0,1848 CORNAGA AVE FAR ROCKAWAY NY 11691-4304,ROCKAWAY PENINSULA CIVIC ASSOC INC,A40,0.0,48854.0,NY,1848 CORNAGA AVE,11691-4304,11691.0,A40,Visual Arts
13,10306,PO BOX 2222,NEW YORK,0.0,0.0,113163244,8095.0,36061.0,,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,A23,300.0,1807.0,NY,,10008-2222,10008.0,A23,Cultural & Ethnic Awareness
