,ZIP,LEN,REVENUE,COMPENSATION,EXPENSES,CONTRIBUTIONS,PROGREVENUE
0,10001.0,75.0,84630476.0,25471145.0,81483751.0,33636684.0,40656246.0
1,10002.0,30.0,32500667.0,16068631.0,38682889.0,19272884.0,13253905.0
2,10003.0,116.0,153597493.0,54646287.0,138633998.0,87018430.0,58169903.0
3,10004.0,19.0,19802029.0,6073647.0,16876457.0,6132813.0,12053896.0
4,10005.0,8.0,17799091.0,1420588.0,17339673.0,15684019.0,1040550.0
5,10006.0,1.0,17046930.0,7900625.0,12461149.0,16882164.0,60000.0
6,10007.0,12.0,5345770.0,1511540.0,5062445.0,1893859.0,2634853.0
7,10009.0,24.0,4441665.0,889292.0,3982190.0,2550696.0,1758208.0
8,10010.0,21.0,11092730.0,2739566.0,11349454.0,4947865.0,2418009.0
9,10011.0,66.0,91219002.0,29792866.0,93925227.0,45198548.0,23764993.0
10,10012.0,47.0,50489899.0,7830851.0,42722392.0,12659981.0,6830166.0
11,10013.0,75.0,31796124.0,8799977.0,31219751.0,22820891.0,5344768.0
12,10014.0,41.0,126201452.0,27582568.0,90579198.0,102722916.0,17276602.0
13,10015.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10016.0,48.0,30355396.0,7448957.0,29614217.0,15940380.0,12046713.0
15,10017.0,38.0,244724048.0,74850392.0,226543317.0,84559365.0,155732557.0
16,10018.0,81.0,343206650.0,55690494.0,151900462.0,245849182.0,80874157.0
17,10019.0,91.0,830719742.0,164807650.0,503401597.0,430814455.0,134359632.0
18,10020.0,3.0,10553173.0,1045269.0,6792081.0,7778868.0,0.0
19,10021.0,27.0,49588269.0,15017896.0,43000547.0,21505128.0,5620292.0
20,10022.0,65.0,54566213.0,14282615.0,51878857.0,26252983.0,13152892.0
21,10023.0,79.0,944887157.0,359202794.0,820543845.0,443172549.0,412937808.0
22,10024.0,48.0,303329950.0,83970990.0,223492102.0,217166773.0,35719306.0
23,10025.0,80.0,19226108.0,5845162.0,18876971.0,9323368.0,6936665.0
24,10026.0,4.0,659021.0,0.0,373041.0,383396.0,6085.0
25,10027.0,31.0,73824760.0,26034955.0,72438789.0,17838197.0,51685575.0
26,10028.0,19.0,594539535.0,132802057.0,447041103.0,352924703.0,9277000.0
27,10029.0,18.0,27375239.0,7520508.0,18453934.0,22679713.0,2834404.0
28,10030.0,9.0,5608651.0,2397369.0,5702376.0,3463321.0,1907409.0
29,10031.0,12.0,8265329.0,3319604.0,9243391.0,5450199.0,2606218.0
