,EIN,NAME,SEC_NAME,ADDRESS,CITY,STATE,ZIP,ZIP5,CONTACT,NTEEIRS,SUBSECCD,FNDNCD,RULEDATE,ORGCD,ACCPER,ACTIV1,ACTIV2,ACTIV3,AFCD,CLASSCD,DEDUCTCD,EOSTATUS,FRCD,GEN,TAXPER,FISYR,SOIYR,STYEAR,subcd,CONT,PROGREV,INVINC,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,RENTINC,rntlexpnsreal,rntlexpnsprsnl,RENTEXP,rntlincreal,rntlincprsnl,NETRENT,SECUR,SALEOTHG,SALESEXP,SALEOTHE,SALESECN,SALEOTHN,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,SPEVTG,DIREXP,FUNDINC,INVENTG,GOODS,GRPROF,OTHINC,TOTREV2,TOTREV,GRREC,COMPENS,OTHSAL,PAYTAX,FUNDFEES,EXPS,NETINC,OTHCHGS,ASS_BOY,ASS_EOY,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,unsecurednotesend,LIAB_BOY,LIAB_EOY,RETE_BOY,RETEARN,NETA_BOY,FUNDBAL,Q78A,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,REASON,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,inPrior,inPriorSrc,taxperP,fisyrP,doccdP,contP,progrevP,duesP,invincP,netrentP,salesecnP,saleothnP,fundincP,grprofP,othincP,totrevP,expsP,netincP,compensP,othsalP,paytaxP,fundfeesP,DocCD,FileName,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,nteeFinal,nteeFinal1,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NAICS,LONGITUDE,LATITUDE,epostcard,SOURCE,KeyID,VERIFY
1241,131572247,METROPOLITAN OPERA CLUB INC,,LINCOLN PLZ,NEW YORK,NY,10023-7105,10023.0,,A6AI,7.0,0.0,194608.0,1.0,7.0,119.0,319.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201207,2012,2011,2011,7.0,0,462612,4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1148130,168177,979953,0.0,1447537.0,1447537.0,1615714.0,189321.0,352283.0,60990.0,0.0,1386933,60604.0,,1614302.0,1647324,0.0,0.0,0.0,0.0,0.0,768395.0,740813,0.0,0.0,845907.0,906511,Y,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201107.0,2011.0,93.0,0.0,464813.0,0.0,8184.0,0.0,0.0,0.0,0.0,915997.0,0.0,1388994.0,1680133.0,-291139.0,0.0,515680.0,64299.0,0.0,93,131572247_201207_990O,IN,,131572247201207,1315722472012,A11,A,36061.0,5602.0,5600.0,A11,A,O,S,ZA,A,A,1,AR,AR,AR,0.48646000000000006,A,813219.0,-74.06739499999999,40.6042645,0,rtf2013_990_VER,7932,
1335,116042353,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,1502 NY LOC NYC BROOKLYN MUSEUM EMP,200 EASTERN PKWY,BROOKLYN,NY,11238-6052,11238.0,WILSON SOUFFRANT,,5.0,0.0,195708.0,5.0,9.0,263.0,59.0,264.0,9.0,3.0,2.0,1.0,10.0,1381.0,201209,2012,2011,2011,5.0,0,111881,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,111896.0,111896.0,111896.0,0.0,4726.0,809.0,0.0,112776,-880.0,,40540.0,39694,0.0,0.0,0.0,0.0,0.0,4033.0,4067,0.0,0.0,36507.0,35627,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201109.0,2011.0,93.0,0.0,113906.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,113970.0,113590.0,380.0,0.0,4008.0,553.0,0.0,93,116042353_201209_990O,IN,,116042353201209,1160423532012,A50,A,36047.0,5602.0,5600.0,A50,A,O,O,AR,A,A,1,AR,AR,AR,0.43577,A,712110.0,-73.962251,40.6713095,0,rtf2013_990_VER,8488,
2347,131182895,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,,255 E 36TH ST,NEW YORK,NY,10016-0000,10016.0,,S41,6.0,0.0,201101.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201206,2012,2011,2011,6.0,400,32503,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30226.0,63131.0,63131.0,63131.0,0.0,0.0,0.0,0.0,52825,10306.0,,6586.0,14280,0.0,0.0,0.0,0.0,0.0,2612.0,0,-5348.0,4958.0,3974.0,14280,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201106.0,2011.0,93.0,0.0,46078.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10100.0,56192.0,61540.0,-5348.0,0.0,0.0,0.0,0.0,93,131182895_201206_990O,IN,,131182895201206,1311828952012,A40,A,36061.0,5602.0,5600.0,A40,A,O,O,AR,A,A,1,AR,AR,AR,0.5695100000000001,A,710000.0,-73.97623269,40.74683195,0,rtf2013_990_VER,12665,
2467,131087160,MAGAZINE PUBLISHERS OF AMERICA INC,,810 SEVENTH AVE 24TH FLOOR,NEW YORK,NY,10019-5873,10019.0,,,6.0,0.0,194209.0,1.0,12.0,200.0,0.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201112,2011,2011,2011,6.0,0,8817244,49027,0.0,898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7372800.0,0,6890618.0,0,482182.0,0.0,482182.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,89001.0,10335454.0,10335454.0,17226072.0,2641431.0,1533926.0,226357.0,0.0,9749609,585845.0,,9689700.0,8453417,0.0,0.0,0.0,0.0,0.0,1800100.0,816133,0.0,0.0,7889600.0,7637284,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201012.0,2010.0,93.0,5804250.0,4034800.0,0.0,30300.0,0.0,52700.0,0.0,0.0,0.0,164700.0,10086750.0,10043250.0,43500.0,1196000.0,0.0,248600.0,0.0,93,131087160_201112_990O,IN,,131087160201112,1310871602011,A0333,A,36061.0,5602.0,5600.0,A033,A,O,O,AR,A,A,1,AR,AR,AR,0.19095,A,813920.0,-73.982279655,40.762703906,0,rtf2013_990_VER,14359,
6869,203132925,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,,132 DELANCY ST 2ND FL,NEW YORK,NY,10002-3325,10002.0,RICHARD BENGLOFF,S41,6.0,0.0,200509.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201206,2012,2011,2011,6.0,879364,0,3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,882527.0,882527.0,882527.0,305000.0,112990.0,28161.0,0.0,728443,154084.0,,817629.0,996297,0.0,0.0,0.0,0.0,0.0,125073.0,149657,0.0,0.0,692556.0,846640,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201106.0,2011.0,93.0,828707.0,0.0,0.0,2686.0,0.0,0.0,0.0,0.0,0.0,0.0,831393.0,631121.0,200272.0,294000.0,0.0,28508.0,0.0,93,203132925_201206_990O,IN,,203132925201206,2031329252012,A68,A,36061.0,5602.0,5600.0,A68,A,O,O,AR,A,A,1,AR,AR,AR,0.53642,A,711130.0,-73.990824,40.734724799999995,0,rtf2013_990_VER,32400,
9572,30560682,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,S B NIDHAN SINGH JI CULTURAL SOC,PO BOX 260001,BELLROSE,NY,11426-0001,11426.0,RANJIT S JANJUA,A23,4.0,0.0,200707.0,1.0,12.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,10.0,0.0,201212,2012,2012,2012,3.0,51987,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,51987.0,51987.0,51987.0,0.0,0.0,0.0,0.0,55145,-3158.0,,35044.0,31886,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35044.0,31886,N,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,252416.0,0.0,0.0,0.0,0.0,252416.0,1,core2011co,201112.0,2011.0,93.0,37026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37026.0,54021.0,-16995.0,0.0,0.0,0.0,0.0,93,030560682_201212_990,IN,,30560682201212,305606822012,A23,A,36081.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.55789,B,710000.0,-73.7227,40.7366,0,rtf2013_990_VER,40764,
11603,133071647,KOREAN PRODUCE ASSOCIATION INC,,NEW YORK TERMINAL MKT RM C27,BRONX,NY,10474-0000,10474.0,,,6.0,0.0,198405.0,1.0,12.0,200.0,229.0,0.0,3.0,2.0,2.0,1.0,10.0,0.0,201212,2012,2012,2012,6.0,139348,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,139348.0,139348.0,139348.0,0.0,0.0,0.0,0.0,139348,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201112.0,2011.0,93.0,134907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134907.0,134907.0,0.0,0.0,0.0,0.0,0.0,93,133071647_201212_990O,IN,,133071647201212,1330716472012,A23,A,36005.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.42768999999999996,A,710000.0,-73.8845,40.8106,0,rtf2013_990_VER,47782,
12961,133212090,TELEVISON MUSIC LICENSE COMMITTEE,,20623,NEW YORK,NY,10075-0000,10075.0,,,6.0,0.0,198408.0,5.0,12.0,200.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201212,2012,2012,2012,6.0,4956206,0,24847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13976.0,0,0.0,0,13976.0,0.0,13976.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4995029.0,4995029.0,4995029.0,372944.0,60900.0,23271.0,0.0,14170241,-9175212.0,,2807878.0,546142,0.0,0.0,0.0,0.0,0.0,2792657.0,9706133,0.0,0.0,15221.0,-9159991,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201112.0,2011.0,93.0,3847396.0,0.0,0.0,145883.0,0.0,57312.0,0.0,0.0,0.0,0.0,4050591.0,7347826.0,-3297235.0,365387.0,59166.0,24412.0,0.0,93,133212090_201212_990O,IN,,133212090201212,1332120902012,A0368,A,36061.0,5602.0,5600.0,A036,A,O,O,AR,A,A,1,AR,AR,AR,0.831,A,813920.0,-73.9679,40.7582,0,rtf2013_990_VER,52796,
13238,223075802,7 X 24 EXCHANGE INC,,322 EIGTH AVE STE 501,NEW YORK,NY,10001-0000,10001.0,,,6.0,0.0,201102.0,1.0,12.0,123.0,200.0,0.0,6.0,2.0,2.0,1.0,10.0,5843.0,201212,2012,2012,2012,6.0,0,3022610,4194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,193772.0,3220576.0,3220576.0,3220576.0,200000.0,0.0,0.0,0.0,3142680,77896.0,,2001382.0,2191162,0.0,0.0,0.0,0.0,0.0,126318.0,238202,0.0,0.0,1875064.0,1952960,Y,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201112.0,2011.0,93.0,0.0,2890251.0,0.0,4980.0,0.0,0.0,0.0,0.0,0.0,182177.0,3077408.0,2933960.0,143448.0,185700.0,0.0,0.0,0.0,93,223075802_201212_990O,IN,,223075802201212,2230758022012,A70,A,36061.0,5602.0,5600.0,A70,A,O,O,AR,A,A,1,AR,AR,AR,0.05364,C,710000.0,-73.9967,40.75,0,rtf2013_990_VER,53634,
16817,521902671,BRITISH-AMERICAN BUSINESS COUNCIL,,52 VANDERBILT 20TH FL,NEW YORK,NY,10017-3803,10017.0,T R MURPHY GEN COUNSEL,,6.0,0.0,199608.0,1.0,6.0,200.0,0.0,0.0,3.0,1.0,2.0,1.0,10.0,0.0,201206,2012,2011,2011,6.0,85517,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,85517.0,85517.0,85517.0,0.0,0.0,0.0,0.0,134194,-48677.0,,89691.0,102577,0.0,0.0,0.0,0.0,0.0,0.0,61563,0.0,0.0,89691.0,41014,N,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,core2011co,201106.0,2011.0,93.0,95656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95656.0,145915.0,-50259.0,0.0,0.0,0.0,0.0,93,No Exact Image Match (JAN14),IN,,521902671201206,5219026712012,A23,A,36061.0,5602.0,5600.0,A23,A,O,O,AR,A,A,1,AR,AR,AR,0.1678,A,710000.0,-73.977355,40.75424,0,rtf2013_990_VER,65102,
