,EIN,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,OLDNTEE,NTEE2,TOTREV,RASCD,RINCCD,RREVCD,REXPCD,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,VFB,VBS,VINCEXP,VINCTYPE,VOK,FIPS,NTEE,NTEECC,NTEECC4D,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,STYEAR,ntee1,ntee4,RandNum,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,v_errorCd,NTmaj12,FisYr,NteeDraft,taxper,stateOld1,zip5Old1,cityOld1,BOND_EOY,MRTG_EOY,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
172,10263908,383117,0,2543303,2401794,192118,66518,7635,1203,3166852,757423,3549969,1019052,5291025,0,7855,5298788,5322424,38878,31399,0,0,0,0,0,0,0,0,0,0,0,0,90373,332220,0,0,,A25Z,A6EZ,1050167,5,4,4,4,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,,200 PARK AVE S 1116,NEW YORK,NY,10003-1503,0.0,3.0,3.0,2000.0,194707.0,1.0,11.0,1.0,13.0,0.0,10.0,12,,46.0,119.0,30.0,B9710,,1,1,1,6,1,36061.0,A25Z,A25,,PC,O,AR,A,IN,,1994,A,A25Z,0.5203479999999999,10003.0,10003.0,5602.0,5600.0,36061.0,,AR,1994,A25,199412,NY,10003.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A25,A
1092,20223438,29067,0,61900,48011,67052,0,0,0,129722,81711,158789,112103,870324,0,0,871708,870324,0,0,870324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,,A80Z,,110778,3,2,2,2,ST GAUDENS MEMORIAL,% FRANCIS F FAULKNER,17 E 47TH ST,NEW YORK,NY,10017-1920,0.0,3.0,3.0,1000.0,194703.0,1.0,17.0,1.0,13.0,0.0,10.0,12,,62.0,0.0,0.0,B9710,,1,1,1,6,1,36061.0,A80Z,A80,,PC,O,AR,A,IN,,1994,A,A80Z,0.39223800000000003,10017.0,10017.0,5602.0,5600.0,36061.0,,AR,1994,A80,199412,NY,10017.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A80,A
2522,36010806,76755,0,0,0,5786,0,0,0,69899,69899,146654,130604,176620,0,0,171784,180253,7654,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,64113,0,0,,A31Z,,146654,2,2,2,2,INTERNATIONAL FILM SEMINARS INC,% FITTS & OLSON,462 BROADWAY,NEW YORK,NY,10013-2618,0.0,3.0,3.0,2000.0,196308.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,59.0,0.0,0.0,B9710,,1,1,0,1,0,36061.0,A31Z,A31,,PC,O,AR,A,IN,,1994,A,A31Z,0.738835,10013.0,10013.0,5602.0,5600.0,36061.0,,AR,1994,A31,199412,NY,10013.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A31,A
3275,42163004,144388,100855,3615204,0,4769340,0,0,0,8551930,8551930,8797173,5170170,103576335,333450,0,99963611,103582109,14279,5774,0,0,0,0,0,0,0,0,0,0,0,0,0,36700,0,50665,S,A51Z,,8797173,6,5,5,5,STERLING & FRANCINE CLARK ART INST,% MINER D CRARY,60 E 42ND ST,NEW YORK,NY,10165-0006,0.0,3.0,3.0,1230.0,195109.0,1.0,17.0,1.0,13.0,0.0,10.0,6,VALERIE SCHUECKLER,119.0,0.0,0.0,B9710,,1,1,1,6,1,36061.0,A51Z,A51,,PC,O,AR,A,IN,,1994,A,A51Z,0.458608,10165.0,10165.0,5602.0,5600.0,36061.0,,AR,1995,A51,199506,NY,10165.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A51,A
4164,42575633,23721,0,0,0,2288,0,0,0,22978,22978,46699,48232,-8080,0,0,57914,63103,64461,71183,0,0,0,0,0,0,0,0,0,0,0,0,0,9040,0,11650,,A60Z,,46699,1,1,1,1,SEVENARS CONCERTS INC,,30 E END AVE,NEW YORK,NY,10028-7053,0.0,3.0,3.0,2000.0,197611.0,1.0,15.0,1.0,1.0,0.0,10.0,12,,90.0,0.0,0.0,B9710,,0,1,1,6,1,36061.0,A60Z,A60,,PC,O,AR,A,IN,,1994,A,A60Z,0.26624899999999996,10028.0,10028.0,5602.0,5600.0,36061.0,,AR,1994,A68,199412,NY,10028.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A68,A
9179,60952015,267000,0,360906,353223,59067,0,0,0,419973,66750,686973,19879,1776435,0,0,1532266,1776435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A68J,,333750,4,3,2,1,RENEE B FISHER FOUNDATION,% MILTON FISHBN,2 W 45TH ST,NEW YORK,NY,10036-4212,0.0,3.0,3.0,1200.0,197910.0,1.0,16.0,1.0,13.0,0.0,10.0,12,,995.0,119.0,602.0,B9710,,1,1,0,1,0,36061,A68J,A68,6.0,PC,O,AR,A,IN,,1994,A,A68J,0.683489,10036.0,10036.0,5602.0,5600.0,36061.0,,AR,1994,A68,199412,NY,10036.0,NEW YORK,,,A,AR,AR,PC,S,ZB,,IN,,A12,A
9942,61219644,25831,0,0,0,0,0,0,0,25771,25771,51602,52782,-1180,0,0,1000,1100,1000,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,25770,0,0,,A65Z,,51602,1,1,1,1,CATSKILL ACTORS THEATRE INC,,116 PINEHURST AVE APT 21,NEW YORK,NY,10033-1755,0.0,3.0,3.0,1000.0,198803.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,0,0,1,6,0,36061,A65Z,A65,,PC,O,AR,A,IN,,1992,A,A65Z,0.7692760000000001,10033.0,10033.0,5602.0,5600.0,36061.0,,AR,1992,A65,199212,NY,10033.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9967,61233193,33100,0,0,0,36,0,0,0,36,36,33136,11819,29568,0,0,8251,29568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A65Z,,33136,1,1,1,1,GYPSY ROAD COMPANY INC,% JAMES D RICE,685 FIFTH AVE STE 1600,NEW YORK,NY,10022-4208,0.0,3.0,3.0,1200.0,0.0,1.0,15.0,5.0,13.0,0.0,10.0,8,,88.0,0.0,0.0,B9710,,1,1,1,6,1,36061,A65Z,A65,,PC,O,AR,A,IN,,1993,A,A65Z,0.62092,10022.0,10022.0,5602.0,5600.0,36061.0,,AR,1994,A65,199408,NY,10022.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
9993,61240889,12860,0,0,0,0,0,0,0,54982,54982,67842,68191,-349,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,54982,0,0,,A6FZ,,67842,0,1,1,1,THEATREMOVES INC,NEIL INTRAUB,PO BOX 1333,NEW YORK,NY,10009-8902,0.0,3.0,3.0,1000.0,199001.0,1.0,15.0,1.0,13.0,0.0,10.0,6,,90.0,0.0,0.0,B9710,,0,0,1,6,0,36061,A6FZ,A6F,,PC,O,AR,A,IN,,1993,A,A6FZ,0.678527,10009.0,10009.0,5602.0,5600.0,36061.0,,AR,1994,A65,199406,NY,10009.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
10063,61267752,2775,0,0,0,0,0,0,0,81595,81595,84370,103799,-15383,0,0,4046,2517,0,17900,0,0,0,0,0,0,0,0,0,0,0,0,0,81595,0,0,,A65Z,,84370,1,1,1,2,29TH STREET REPERTORY THEATRE INC,% TIMOTHY J CORCORAN,212 W 29TH ST,NEW YORK,NY,10001-5201,0.0,3.0,3.0,2000.0,199104.0,1.0,15.0,1.0,13.0,0.0,10.0,12,,88.0,0.0,0.0,B9710,,0,0,1,6,0,36061,A65Z,A65,,PC,O,AR,A,IN,,1994,A,A65Z,0.13833099999999998,10001.0,10001.0,5602.0,5600.0,36061.0,,AR,1994,A65,199412,NY,10001.0,NEW YORK,,,A,AR,AR,PC,O,AR,A,IN,,A65,A
