,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P6INVTAX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,randnum,nteeConf,LEVEL1,LEVEL2,LEVEL3,LEVEL4,stateOld1,zip5Old1,cityOld1,SOURCE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1
156,10547898,200112,2001,200247.0,29491306028152,A80,N,Y,0.0,1.0,2001,3.0,4.0,3.0,3,0,55000,0,0,0,0,0,0,0,0,55000,0,55000,0,0,0,0,230000,0,0,0,0,175000,230000,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,230000,0,0,230000,0,55000,0,0,0,0,0,0,0,0,0,0,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10003.0,WTC PLATFORM FOUNDATION INC,% MILGROM GALUSKIN BALMUTH & CO CPA,5 UNION SQ W,NEW YORK,NY,10003-3306,0.0,3.0,1.0,200205.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A80,A,A,IN,,1,AR,AR,AR,0.07422589999999998,C,PF,O,AR,A,NY,10003.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A80,A
3530,53842834,200109,2001,200216.0,29491075031172,A23Z,N,Y,0.0,1.0,2000,3.0,1.0,1.0,3,60,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118.0,FREDERICK BROWN MUSEUM INC,% L WOLLIN,350 FIFTH AVE STE 2822,NEW YORK,NY,10118-2899,0.0,3.0,1.0,199511.0,1.0,4.0,60.0,0.0,0.0,1.0,13.0,0.0,1.0,9,,36061.0,5602.0,5600.0,A23,A,A,IN,,1,AR,AR,AR,0.46897,N,PF,O,AR,A,NY,10118.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A50,A
4221,61532031,200112,2001,200230.0,29491173230212,A12,N,Y,0.0,1.0,2001,3.0,6.0,3.0,3,0,40000,834,0,0,0,0,0,0,40000,40834,48135,-7301,48035,834,8,0,1716921,0,0,0,0,7500,1716921,74759,84567,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,834,0,8135,0,8035,0,0,16921,0,0,1716921,0,1709421,8,0,0,0,0,0,0,0,8,0,1717106,84559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021.0,ALEPH FOUNDATION FOR HUMANITIES,% JOEL ORNSTEIN,667 MADISON AVE 11TH FLR,NEW YORK,NY,10021-8029,0.0,3.0,1.0,199904.0,1.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36061.0,5602.0,5600.0,A12,A,A,IN,,1,AR,AR,AR,0.214986,N,PF,S,ZB,A,NY,10021.0,NEW YORK,core2001pf_ver1,PF,S,ZB,A,IN,,A70,A
5309,113121207,200202,2002,200229.0,29491173245232,A60Z,N,Y,0.0,1.0,2001,3.0,4.0,1.0,3,122,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,101510,0,0,0,0,75962,101510,0,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,101510,0,25548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,B KING PRODUCTIONS INC,% STARR & CO,350 PARK AVE,NEW YORK,NY,10022-6022,0.0,3.0,1.0,199402.0,1.0,4.0,122.0,0.0,0.0,1.0,13.0,0.0,1.0,2,,36061.0,5602.0,5600.0,A60,A,A,IN,,1,AR,AR,AR,0.784231,N,PF,O,AR,A,NY,10022.0,NEW YORK,core2001pf_ver1,PF,S,AR,A,IN,,A60,A
5317,113131714,200112,2001,200220.0,29491096017052,A99Z,N,Y,0.0,1.0,2001,3.0,1.0,1.0,3,560,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11419.0,PEACE UNITY AND PROSPERITY FOUNDATION INC,% SARITA SACHOEUA,95 54 111TH ST,RICHMOND HILL,NY,11419-1023,0.0,3.0,1.0,199607.0,1.0,4.0,560.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.369607,N,PF,O,AR,A,NY,11419.0,RICHMOND HILL,core2001pf_ver1,PF,S,AR,A,IN,,A99,A
5329,113137086,200012,2000,200203.0,29491005064232,A99Z,N,Y,0.0,1.0,2000,3.0,4.0,3.0,3,560,80000,8479,0,0,0,0,0,0,92911,88479,94170,-5691,92911,7220,144,7220,315258,0,0,0,0,0,315258,0,15721,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,8479,8479,1259,1259,0,1259,1259,315258,0,0,315258,0,315258,144,0,0,0,0,0,0,0,144,0,319210,15577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423.0,J Z L FOUNDATION,% MICKEY WOHL,87 09 CLIO ST,HOLLISWOOD,NY,11423-1229,0.0,3.0,1.0,199508.0,1.0,4.0,560.0,0.0,0.0,2.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.88065,N,PF,O,AR,A,NY,11423.0,HOLLISWOOD,core2001pf_ver1,PF,S,AR,A,IN,,A99,A
5346,113162087,200012,2000,200220.0,29491117034162,,N,Y,0.0,1.0,2000,3.0,6.0,5.0,3,994,693611,0,0,0,0,0,264301,0,0,957912,643742,314170,627093,0,0,251595,1003579,0,568623,0,568623,87293,1003579,0,284,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,264301,643742,0,627093,0,12706,3330,0,0,1003579,0,916286,0,0,0,0,0,0,0,0,0,0,5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11101.0,AMERICAN MUSEUM FOR THE PRESERVATION OF HISTORIC AIRCRAFT,% AVIREX LTD,33 00 47TH AVE,LONG IS CITY,NY,11101-2430,0.0,3.0,1.0,199308.0,1.0,4.0,994.0,60.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A50,A,A,IN,,1,AR,AR,AR,0.929457,N,PF,O,AR,A,NY,11101.0,LONG IS CITY,core2001pf_ver1,PF,S,AR,A,IN,,A50,A
5354,113174234,200112,2001,200239.0,29491243033192,,N,Y,0.0,1.0,2001,3.0,4.0,2.0,3,602,11050,7049,2076,0,0,0,0,0,37300,20175,41102,-20927,28,8057,161,0,261365,0,0,60000,60000,0,283632,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,9125,0,3802,1068,28,1068,0,0,0,50596,283632,0,261365,161,0,0,140,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11367.0,FOUNDATION FOR THE ADVANCEMENT OF ARTS AND SCIENCES FROM INDIA INC,% RAVI S KULKARNI,150 56 MELBOURNE AVE,FLUSHING,NY,11367-1439,0.0,3.0,1.0,199310.0,1.0,4.0,602.0,0.0,0.0,1.0,11.0,0.0,1.0,12,,36081.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.126318,N,PF,O,AR,A,NY,11367.0,FLUSHING,core2001pf_ver1,PF,S,AR,A,IN,,A0123,A
5420,113227149,200106,2001,200229.0,29491117031212,A47P,N,Y,0.0,1.0,2000,3.0,1.0,3.0,3,91,0,0,0,0,0,0,55176,4500,240,55176,60091,-4915,60091,0,0,0,8253,0,0,0,0,7770,8253,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,59851,0,59851,0,0,3078,0,0,8253,0,483,0,0,0,0,0,0,0,0,0,0,7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231.0,CLAYWORKS ON COLUMBIA INC,,195 COLUMBIA STREET,BROOKLYN,NY,11231-0000,0.0,3.0,3.0,199612.0,1.0,4.0,91.0,149.0,59.0,1.0,11.0,0.0,1.0,6,,36047.0,5602.0,5600.0,A19,A,A,IN,,1,AR,AR,AR,0.680917,N,PF,O,AR,A,NY,11231.0,BROOKLYN,core2001pf_ver1,PF,S,AR,A,IN,,A40,A
5481,113276202,200112,2001,200236.0,29491229007082,A25,N,Y,0.0,25.0,2001,3.0,1.0,3.0,3,994,36537,0,0,0,0,0,0,4628,250,36537,34881,1656,250,0,0,0,2034,0,0,0,0,0,2034,0,158,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,34631,0,0,0,0,2034,0,0,2034,0,2034,0,0,0,0,0,0,0,0,0,0,3217,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022.0,ART SPIRIT INC,% ROSENZWEIG & MAFFIA,845 3RD AVE,NEW YORK,NY,10022-6601,0.0,3.0,1.0,199602.0,1.0,15.0,994.0,91.0,0.0,1.0,13.0,199912.0,20.0,12,,36061.0,5602.0,5600.0,A99,A,A,IN,,1,AR,AR,AR,0.106281,N,PC,O,AR,A,NY,10022.0,NEW YORK,core2001pf_ver1,PF,O,AR,A,IN,,A25,A
