,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_BOY,ASS_EOY,BLOCK,BOND_BOY,BOND_EOY,CENSUSTRACT,CITY,CLASSCD,COMPENS,COMPENSP,CONT,CONTACT,CONTP,DEDUCTCD,DIREXP,EOSTATUS,EPOSTCARD,EXPS,EXPSP,FILENAME,FIPS,FISYR,FISYRP,FNDNCD,FRCD,FUNDBAL,FUNDFEES,FUNDFEESP,FUNDINC,FUNDINCP,GFTGRNTSRCVD170,GOODS,GRPROF,GRPROFP,GRREC,GRRECMEM,GRRECOTH,GRRECPUB,GRSINC170,GRSINCFNDRSNG,GRSINCGAMING,GRSRCPTSADMISSN509,GRSRCPTSRELATED170,GRSRNTSPRSNL,GRSRNTSREAL,INITFEES,INPRIOR,INPRIORSRC,INVENTG,INVINC,INVINCP,LATITUDE,LESSDIRFNDRSNG,LESSDIRGAMING,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LIAB_BOY,LIAB_EOY,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MRTG_BOY,MRTG_EOY,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NETA_BOY,NETGNLS,NETINC,NETINCFNDRSNG,NETINCGAMING,NETINCP,NETRENT,NETRENTP,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OTHCHGS,OTHINC,OTHINCP,OTHSAL,OTHSALP,OUTNCCS,OUTREAS,PAYTAX,PAYTAXP,PMSA,PROGREV,PROGREVP,Q78A,RANDNUM,REASON,RENTEXP,RENTINC,RETEARN,RETE_BOY,RNTLEXPNSPRSNL,RNTLEXPNSREAL,RNTLINCPRSNL,RNTLINCREAL,ROYALTSINC,RULEDATE,SALEOTHE,SALEOTHG,SALEOTHN,SALEOTHNP,SALESECN,SALESECNP,SALESEXP,SECUR,SEC_NAME,SOIYR,SOURCE,SPEVTG,SRVCSVAL170,SRVCSVAL509,STATE,STYEAR,SUBCD,SUBSECCD,SUBTOTSUPPINC509,TAXPER,TAXPERP,TOTGFTGRNTRCVD509,TOTREV,TOTREV2,TOTREVP,TOTSUPP509,TXEXMPTBNDSPROCEEDS,TXREVNUELEVIED170,TXREVNUELEVIED509,UNSECUREDNOTESEND,VALIDATION_STATE,ZIP,ZIP5
153,10263908,12,46.0,119.0,30.0,136 WEST 22ND STREET,3.0,18783360.0,19403462.0,360610052001004.0,0.0,0.0,36061005000.0,NEW YORK,20,247589.0,252262.0,1620853.0,,1085106.0,1.0,216046.0,1.0,0,2100881.0,1980122.0,010263908_201412_990O,36061.0,2014,2013.0,11,10.0,19351351.0,0.0,0.0,-148146.0,-120574.0,5141317.0,8935.0,70378.0,63342.0,4977130,0.0,0.0,,2233632.0,67900.0,0,0.0,2821390.0,0.0,0.0,0,1,rtf13_990_VER,79313.0,566724.0,664713.0,40.7365,216046.0,0.0,PC,O,AR,A,59313.0,52111.0,-73.98899999999999,A,,0.0,0.0,5602.0,611610.0,SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,10263908201412,102639082014,18724047.0,1033919.0,1521036.0,-148146.0,0.0,265741.0,0.0,0.0,A,A25,,A25,A,A250,NEW,AR,AR,AR,1.0,,6434.0,9374.0,595430.0,532826.0,IN,,80641.0,74906.0,5600.0,471755.0,473146.0,N,0.198121074058518,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194707,0.0,0.0,0.0,70756.0,1033919.0,0.0,1130232.0,2164151.0,,20140.0,15eofinextract990.dat.dat,67900.0,0.0,0.0,NY,20140.0,3,3,0.0,201412,201312.0,0.0,3621917.0,3621917.0,2245863.0,0.0,0.0,0.0,0.0,0.0,0.0,10011-2424,10011
501,10391592,12,149.0,319.0,0.0,VAN BRUNT STATION BOX 150-597,3.0,890.0,2219.0,360470059002031.0,0.0,0.0,36047005900.0,BROOKLYN,10,0.0,0.0,2721.0,,5000.0,1.0,0.0,1.0,0,49009.0,51349.0,010391592_201412_990EZ,36047.0,2014,2013.0,16,10.0,2219.0,0.0,0.0,0.0,0.0,,0.0,0.0,140.0,50838,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0.0,0.0,0.0,40.6765,0.0,0.0,PC,O,AR,A,0.0,0.0,-74.0033,A,,0.0,0.0,5602.0,711130.0,MAINE JAZZ CAMP,10391592201412,103915922014,890.0,500.0,1329.0,0.0,0.0,-435.0,0.0,0.0,A,A68,,A68,A,B99Z,NEW,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,47117.0,45774.0,N,0.9002932843926034,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,198809,0.0,500.0,500.0,0.0,0.0,0.0,0.0,,,20140.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20140.0,3,3,0.0,201412,201312.0,17366.0,50338.0,50338.0,50914.0,277699.0,0.0,0.0,0.0,0.0,0.0,11215-0597,11231
1389,10621206,6,0.0,0.0,0.0,46 RIVERSIDE DR APT 2N,3.0,1386.0,947.0,360610163001006.0,0.0,0.0,36061016300.0,NEW YORK,20,0.0,0.0,9776.0,STEPHANIE CHASE,6420.0,1.0,0.0,1.0,0,10986.0,12658.0,010621206_201406_990EZ,36061.0,2014,2013.0,15,20.0,-10003.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11536,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0.0,0.0,0.0,40.7836,0.0,0.0,PC,O,AR,A,11939.0,10950.0,-73.984,A,,0.0,0.0,5602.0,711130.0,MUSIC OF THE SPHERES SOCIETY INC,10621206201406,106212062014,-10553.0,0.0,550.0,0.0,0.0,-2441.0,0.0,0.0,A,A68,,A68,A,A68,BEST,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,1760.0,3797.0,N,0.17306208815638202,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20139.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20139.0,3,3,0.0,201406,201306.0,43145.0,11536.0,11536.0,10217.0,64340.0,0.0,0.0,0.0,0.0,0.0,10024-6893,10024
1435,10632725,12,0.0,0.0,0.0,528 HANCOCK ST STE 3 FL,3.0,27088.0,14082.0,360470295004001.0,0.0,0.0,36047029500.0,BROOKLYN,20,0.0,0.0,89745.0,DEAN MOSS,47200.0,1.0,0.0,1.0,0,129368.0,61886.0,010632725_201412_990EZ,36047.0,2014,2013.0,15,10.0,14082.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,116362,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0.0,0.0,0.0,40.6844,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.9345,A,,0.0,0.0,5602.0,711100.0,GAMETOPHYTE INC,10632725201412,106327252014,27088.0,0.0,-13006.0,0.0,0.0,36214.0,0.0,0.0,A,A60,,A60,A,A60,IRS,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,26617.0,50900.0,N,0.28415897201673457,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20140.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20140.0,3,3,0.0,201412,201312.0,257456.0,116362.0,116362.0,98100.0,500262.0,0.0,0.0,0.0,0.0,0.0,11233-1019,11233
1560,10668318,12,0.0,0.0,0.0,229 W 97TH ST RM/STE 1B,3.0,19012.0,27345.0,360610183006000.0,0.0,0.0,36061018300.0,NEW YORK,20,0.0,25000.0,67148.0,VOORHEES,97245.0,1.0,0.0,1.0,0,165902.0,195999.0,010668318_201412_990EZ,36061.0,2014,2013.0,16,10.0,27345.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,174235,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990_VER,0.0,0.0,0.0,40.795239,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.970629,A,,0.0,0.0,5602.0,711130.0,INTERNATIONAL KEYBOARD INSTITUTE AND FESTIVAL,10668318201412,106683182014,19012.0,0.0,8333.0,0.0,0.0,8624.0,0.0,0.0,A,A68,,A68,A,A68,IRS,AR,AR,AR,1.0,0.0,0.0,0.0,0.0,0.0,IN,,0.0,2485.0,5600.0,107087.0,107378.0,N,0.1939730489325032,9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,200207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20140.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20140.0,3,3,87.0,201412,201312.0,416370.0,174235.0,174235.0,204623.0,868425.0,0.0,0.0,0.0,0.0,0.0,10025-4115,10025
1576,10671893,12,0.0,0.0,0.0,134 MARINERS LN,3.0,1.0,2176.0,360850223002012.0,0.0,0.0,36085022300.0,STATEN ISLAND,20,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,111856.0,95919.0,010671893_201412_990EZ,36085.0,2014,2013.0,15,10.0,231.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,111006,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0.0,0.0,0.0,40.635404,0.0,0.0,PC,O,AR,A,4676.0,1945.0,-74.152262,A,,0.0,0.0,5602.0,711100.0,ALEXANDRIA AND AKEAS PLAYHOUSE INC AAPI SERVICES,10671893201412,106718932014,-4676.0,0.0,-850.0,0.0,0.0,-2730.0,0.0,0.0,A,A61,,A61,A,A61,BEST,AR,AR,AR,1.0,5757.0,0.0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,111006.0,93189.0,N,0.6287815168341799,7,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,AAPI SERVICES,20140.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20140.0,3,3,0.0,201412,201312.0,0.0,111006.0,111006.0,93189.0,0.0,0.0,0.0,0.0,0.0,0.0,10303-2548,10303
1792,10728746,8,0.0,0.0,0.0,232 3RD ST STE E002,3.0,107904.0,157582.0,360470119001023.0,0.0,0.0,36047011900.0,BROOKLYN,10,21460.0,20000.0,136796.0,,65843.0,1.0,0.0,1.0,0,209639.0,181123.0,010728746_201408_990O,36047.0,2014,2013.0,15,10.0,157582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259314,0.0,0.0,,0.0,0.0,0,569485.0,0.0,0.0,0.0,0,1,rtf13_990_VER,0.0,0.0,0.0,40.674973,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.98798000000001,A,,0.0,0.0,5602.0,710000.0,UGLY DUCKLING PRESSE LTD,10728746201408,107287462014,107904.0,0.0,49675.0,0.0,0.0,1904.0,0.0,0.0,A,A20,,A20,A,A20,IRS,AR,AR,AR,1.0,,0.0,0.0,0.0,0.0,IN,,6202.0,1530.0,5600.0,122518.0,117184.0,N,0.6478762624236019,9,0.0,0.0,73097.0,23419.0,0.0,0.0,0.0,0.0,0.0,200404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20139.0,15eofinextract990.dat.dat,0.0,0.0,0.0,NY,20139.0,3,3,11.0,201408,201308.0,398832.0,259314.0,259314.0,183027.0,984438.0,0.0,0.0,0.0,0.0,0.0,11215-2733,11215
2049,10798319,6,0.0,0.0,0.0,151 WEST 46TH STREET 8TH FLOOR,3.0,35538.0,43851.0,360610125001007.0,0.0,0.0,36061012500.0,NEW YORK,20,0.0,0.0,148463.0,GLATZER,143610.0,1.0,0.0,1.0,0,238937.0,205907.0,010798319_201506_990O,36061.0,2015,2014.0,16,10.0,41311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262563,0.0,0.0,,0.0,0.0,0,150659.0,0.0,0.0,0.0,0,1,rtf13_990_VER,0.0,0.0,0.0,40.758066,0.0,0.0,PC,O,AR,A,17853.0,2540.0,-73.983312,A,,0.0,0.0,5602.0,711110.0,THE TANK LTD,10798319201506,107983192015,17685.0,0.0,23626.0,0.0,0.0,13032.0,0.0,0.0,A,A65,,A65,A,A65,IRS,AR,AR,AR,1.0,,0.0,0.0,62260.0,61053.0,IN,,6412.0,7668.0,5600.0,114100.0,75329.0,N,0.7998520066702888,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20149.0,15eofinextract990.dat.dat,0.0,0.0,0.0,NY,20149.0,3,3,0.0,201506,201406.0,309430.0,262563.0,262563.0,218939.0,460089.0,0.0,0.0,0.0,0.0,0.0,10036-8512,10036
2192,10848423,3,0.0,0.0,0.0,1992 CONEY ISLAND AVE,3.0,144796.0,127997.0,360470420002000.0,0.0,0.0,36047042000.0,BROOKLYN,12,0.0,0.0,752.0,NICK VELLIOS,1441.0,1.0,14135.0,1.0,0,53531.0,32860.0,010848423_201503_990EZ,36047.0,2015,2014.0,15,20.0,127997.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,26470,,,0.0,0.0,0.0,0,,,0.0,0.0,0,1,rtf13_990EZ_VER,0.0,138.0,246.0,40.6087,0.0,0.0,PC,O,AR,A,0.0,0.0,-73.9623,A,,0.0,0.0,5602.0,710000.0,DIPLATANOS SOCIETY AGIA MARINA INC,10848423201503,108484232015,144796.0,0.0,-41196.0,-14135.0,0.0,-8043.0,0.0,0.0,A,A23,,A23,A,A23,IRS,AR,AR,AR,1.0,24397.0,20275.0,18550.0,0.0,0.0,IN,,0.0,0.0,5600.0,5305.0,4580.0,N,0.3479749938205325,9,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,200610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20149.0,15eofinextractEZ.dat,0.0,0.0,0.0,NY,20149.0,3,3,57800.0,201503,201403.0,108408.0,12335.0,12335.0,24817.0,166208.0,0.0,0.0,0.0,0.0,0.0,11223-2329,11223
2213,10856384,7,0.0,0.0,0.0,575 8TH AVE RM 1812,3.0,2072655.0,1825965.0,360610049001004.0,0.0,0.0,36061004900.0,NEW YORK,21,140000.0,139247.0,423311.0,MONICA YUNUS,2928829.0,1.0,212669.0,1.0,0,837533.0,1443236.0,010856384_201407_990O,36061.0,2014,2013.0,15,10.0,1686091.0,0.0,0.0,63629.0,47620.0,0.0,0.0,0.0,0.0,699609,0.0,0.0,,0.0,276298.0,0,683177.0,0.0,0.0,0.0,0,1,rtf13_990_VER,0.0,0.0,478.0,40.7236,212669.0,0.0,PC,O,AR,A,35971.0,139874.0,-73.9984,A,,0.0,0.0,5602.0,711130.0,SING FOR HOPE INC,10856384201407,108563842014,2036684.0,0.0,-350593.0,63629.0,0.0,1533691.0,0.0,0.0,A,A68,,A68,A,A68,IRS,AR,AR,AR,1.0,,0.0,0.0,284963.0,334717.0,IN,,42402.0,47907.0,5600.0,0.0,0.0,N,0.8396108311479716,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20139.0,15eofinextract990.dat.dat,276298.0,0.0,0.0,NY,20139.0,3,3,2468.0,201407,201307.0,4896679.0,486940.0,486940.0,2976927.0,5583311.0,0.0,0.0,0.0,0.0,0.0,10018-3501,10018
