,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_BOY,ASS_EOY,BLOCK,BOND_BOY,BOND_EOY,CENSUSTRACT,CITY,CLASSCD,COMPENS,COMPENSP,CONT,CONTACT,CONTP,DEDUCTCD,DIREXP,EOSTATUS,EPOSTCARD,EXPS,EXPSP,FILENAME,FIPS,FISYR,FISYRP,FNDNCD,FRCD,FUNDBAL,FUNDFEES,FUNDFEESP,FUNDINC,FUNDINCP,GFTGRNTSRCVD170,GOODS,GRPROF,GRPROFP,GRREC,GRRECMEM,GRRECOTH,GRRECPUB,GRSINC170,GRSINCFNDRSNG,GRSINCGAMING,GRSRCPTSADMISSN509,GRSRCPTSRELATED170,GRSRNTSPRSNL,GRSRNTSREAL,INITFEES,INPRIOR,INPRIORSRC,INVENTG,INVINC,INVINCP,LATITUDE,LESSDIRFNDRSNG,LESSDIRGAMING,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LIAB_BOY,LIAB_EOY,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MRTG_BOY,MRTG_EOY,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NETA_BOY,NETGNLS,NETINC,NETINCFNDRSNG,NETINCGAMING,NETINCP,NETRENT,NETRENTP,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OTHCHGS,OTHINC,OTHINCP,OTHSAL,OTHSALP,OUTNCCS,OUTREAS,PAYTAX,PAYTAXP,PMSA,PROGREV,PROGREVP,Q78A,RANDNUM,REASON,RENTEXP,RENTINC,RETEARN,RETE_BOY,RNTLEXPNSPRSNL,RNTLEXPNSREAL,RNTLINCPRSNL,RNTLINCREAL,ROYALTSINC,RULEDATE,SALEOTHE,SALEOTHG,SALEOTHN,SALEOTHNP,SALESECN,SALESECNP,SALESEXP,SECUR,SEC_NAME,SOIYR,SOURCE,SPEVTG,SRVCSVAL170,SRVCSVAL509,STATE,STYEAR,SUBCD,SUBSECCD,SUBTOTSUPPINC509,TAXPER,TAXPERP,TOTGFTGRNTRCVD509,TOTREV,TOTREV2,TOTREVP,TOTSUPP509,TXEXMPTBNDSPROCEEDS,TXREVNUELEVIED170,TXREVNUELEVIED509,UNSECUREDNOTESEND,VALIDATION_STATE,ZIP,ZIP5
2844,42565109,12,200.0,0.0,0.0,152 MADISON AVE RM 1702,3.0,1721.0,1,360610074002002.0,0.0,0.0,36061007400.0,NEW YORK,20.0,0.0,0.0,62148,,58793.0,2.0,0,1.0,0,207145,256409.0,042565109_201512_990O,36061.0,2015,2014.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,205424,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextract990.dat.dat,0,4,5.0,40.7465,0.0,0.0,O,O,AR,A,0.0,0,-73.9839,A,,0.0,0.0,5602.0,710000.0,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,42565109201512,425651092015,1721.0,0,-1721,0,0.0,1336.0,0.0,0.0,A,A23,,A23,A,,BEST,AR,AR,AR,1.0,,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,143272,198947.0,N,0.9917582146972724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197704.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,20150.0,16eofinextract990.dat,0,0.0,0.0,NY,20150,6,6,0.0,201512,201412.0,0.0,205424,205424,257745.0,0.0,0.0,0.0,0.0,0.0,0.0,10016-5464,10016.0
3433,43191447,12,263.0,264.0,279.0,322 W 48TH ST 3RD FL,3.0,22792.0,21248,360610127002000.0,0.0,0.0,36061012700.0,NEW YORK,30.0,0.0,0.0,0,SCOTT BERWICK,0.0,2.0,0,1.0,0,122111,121635.0,043191447_201512_990EZ,36061.0,2015,2014.0,0.0,10.0,19282,0.0,0.0,0.0,0.0,0.0,0,0,0.0,121035,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,1,3.0,40.7612,0.0,0.0,O,O,AR,A,2434.0,1966,-73.9875,A,,0.0,0.0,5602.0,711130.0,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,43191447201512,431914472015,20358.0,0,-1076,0,0.0,7528.0,0.0,0.0,A,A68,,A68,A,J40,BEST,AR,AR,AR,5.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,121034,129160.0,N,0.8974278597083325,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,201403.0,0,0,0,0.0,0.0,0.0,0.0,,,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,5,5,0.0,201512,201412.0,0.0,121035,121035,129163.0,0.0,0.0,0.0,0.0,0.0,0.0,10036-1308,10036.0
3785,43724612,12,907.0,908.0,0.0,209 CROSS BAY BLVD,9.0,228036.0,227005,,0.0,0.0,,BROAD CHANNEL,10.0,0.0,0.0,9661,PETER ZAUN,18696.0,1.0,0,1.0,0,34022,45847.0,043724612_201512_990EZ,36081.0,2015,2014.0,0.0,20.0,227005,0.0,0.0,0.0,0.0,0.0,0,0,0.0,32991,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,0,0.0,40.5857,0.0,0.0,O,O,AR,A,0.0,0,-73.8172,A,,0.0,0.0,5602.0,513120.0,AMERICAN LEGION 1404 BROAD CHANNEL INC,43724612201512,437246122015,228036.0,0,-1031,0,0.0,-8126.0,0.0,0.0,A,A32,,A32,A,,BEST,AR,AR,AR,5.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,23330,19025.0,N,0.3244827893117914,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,194603.0,0,0,0,0.0,0.0,0.0,0.0,,1404 BROAD CHANNEL INC,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,19,19,0.0,201512,201412.0,0.0,32991,32991,37721.0,0.0,0.0,0.0,0.0,0.0,0.0,11693-1048,11693.0
6018,61664413,12,36.0,319.0,0.0,118 WINDSOR PL,3.0,,262,360470169003000.0,,0.0,36047016900.0,BROOKLYN,1.0,0.0,,0,KATHLEEN MCDONAGH,,2.0,0,1.0,0,32,,061664413_201512_990EZ,36047.0,2015,,0.0,20.0,262,0.0,,0.0,,0.0,0,0,,120,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,,40.6599,0.0,0.0,O,O,AR,A,,0,-73.9817,A,,,0.0,5602.0,710000.0,ANCIENT ORDER OF HIBERNIANS LADIES 9 KINGS COUNTY NEW YORK DIVISION,61664413201512,616644132015,,0,88,0,0.0,,0.0,,A,A23,,A23,A,,WORD,AR,AR,AR,5.0,0.0,0,,0.0,,IN,,0.0,,5600.0,120,,N,0.5337727671324075,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,194102.0,0,0,0,,0.0,,0.0,,,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,8,8,0.0,201512,,0.0,120,120,,0.0,0.0,0.0,0.0,0.0,0.0,11229-4111,11215.0
6755,112099939,10,401.0,0.0,0.0,PO BOX 660086,3.0,28279.0,32285,360811339001007.0,0.0,0.0,36081133900.0,FLUSHING,10.0,0.0,0.0,0,TREASURER,0.0,2.0,0,1.0,0,10566,17911.0,112099939_201510_990EZ,36081.0,2015,2014.0,0.0,20.0,32285,0.0,0.0,0.0,0.0,0.0,0,0,0.0,14572,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,147,128.0,40.7273,0.0,0.0,O,O,AR,A,0.0,0,-73.7908,A,,0.0,0.0,5602.0,710000.0,JAMAICA ESTATES ASSOCIATION INC,112099939201510,1120999392015,28279.0,0,4006,0,0.0,-5513.0,0.0,0.0,A,A23,,A23,A,,BEST,AR,AR,AR,1.0,0.0,2900,1300.0,0.0,0.0,IN,,0.0,0.0,5600.0,11525,10970.0,N,0.1817224418819242,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,199610.0,0,0,0,0.0,0.0,0.0,0.0,,,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,4,4,0.0,201510,201410.0,0.0,14572,14572,12398.0,0.0,0.0,0.0,0.0,0.0,0.0,11366-0086,11366.0
6789,112224061,6,566.0,0.0,0.0,31 WEST 34TH STREET,3.0,103375.0,147431,360610076001000.0,0.0,0.0,36061007600.0,NEW YORK,30.0,0.0,0.0,0,,0.0,2.0,0,1.0,0,78279,153759.0,112224061_201506_990EZ,36061.0,2015,2014.0,0.0,10.0,-1550549,0.0,0.0,0.0,0.0,0.0,0,0,0.0,184754,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,960,1500.0,40.7488,0.0,0.0,O,S,ZA,A,1739437.0,1697980,-73.9853,A,,0.0,0.0,5602.0,813219.0,EXHIBITION EMPLOYEES LOCAL 829 HIRING HALL FUND,112224061201506,1122240612015,-1636062.0,5187,85513,0,0.0,-21774.0,0.0,0.0,A,A114,,A1140,A,,BEST,AR,AR,AR,2.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,157645,176207.0,N,0.9527601210819676,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,197111.0,15775,20962,5187,-45722.0,0.0,0.0,0.0,,,20149.0,16eofinextractez.dat,0,0.0,0.0,NY,20149,5,5,0.0,201506,201406.0,0.0,163792,163792,131985.0,0.0,0.0,0.0,0.0,0.0,0.0,10001-3009,10001.0
6924,112511065,6,200.0,0.0,0.0,C/O WILLIAM ROTHBERG 16 COURT ST,3.0,369645.0,352847,,0.0,0.0,,BROOKLYN,10.0,0.0,0.0,0,WILLIAM ROTHBERG,0.0,2.0,0,1.0,0,183156,172334.0,112511065_201506_990EZ,36047.0,2015,2014.0,0.0,10.0,346491,0.0,0.0,0.0,0.0,0.0,0,0,0.0,165536,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,15eofinextractEZ.dat,0,2084,2728.0,40.6402,0.0,0.0,O,O,AR,A,5534.0,6356,-73.98,A,,0.0,0.0,5602.0,712120.0,BUILDING RESTORATION CONTRACTORS INDUSTRY PROMOTION FUND OF NY,112511065201506,1125110652015,364111.0,0,-17620,0,0.0,-47632.0,0.0,0.0,A,A82,,A82,A,,BEST,AR,AR,AR,2.0,0.0,0,0.0,0.0,0.0,IN,,0.0,0.0,5600.0,163452,121974.0,N,0.2677031960271704,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,197912.0,0,0,0,0.0,0.0,0.0,0.0,,,20149.0,16eofinextractez.dat,0,0.0,0.0,NY,20149,6,6,0.0,201506,201406.0,0.0,165536,165536,124702.0,0.0,0.0,0.0,0.0,0.0,0.0,11241-0000,11241.0
6927,112514514,12,36.0,319.0,0.0,64 NAUTILUS ST,3.0,,10186,360850006002003.0,,0.0,36085000600.0,STATEN ISLAND,1.0,0.0,,1805,ROSE COULSON,,1.0,0,1.0,0,21765,,112514514_201512_990EZ,36085.0,2015,,0.0,20.0,10186,0.0,,0.0,,0.0,0,0,,29736,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,,40.6107,0.0,0.0,O,O,AR,A,,0,-74.062,A,,,0.0,5602.0,710000.0,ANCIENT ORDER OF HIBERNIANS LADIES KING COUNTY BOARD,112514514201512,1125145142015,,0,7971,0,0.0,,0.0,,A,A23,,A23,A,,WORD,AR,AR,AR,5.0,0.0,1394,,0.0,,IN,,0.0,,5600.0,26537,,N,0.8144302518263417,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,194102.0,0,0,0,,0.0,,0.0,,,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,8,8,0.0,201512,,0.0,29736,29736,,0.0,0.0,0.0,0.0,0.0,0.0,11229-4111,10305.0
6947,112555049,12,36.0,319.0,0.0,4626 215TH PL,3.0,,2088,360811123002004.0,,0.0,36081112300.0,BAYSIDE,1.0,0.0,,0,MEG REDLING,,1.0,0,1.0,0,1531,,112555049_201512_990EZ,36081.0,2015,,0.0,20.0,2088,0.0,,0.0,,0.0,0,0,,660,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,,40.7644,0.0,0.0,O,O,AR,A,,0,-73.773,A,,,0.0,5602.0,710000.0,ANCIENT ORDER OF HIBERNIANS LADIES 13 DIV QNS CO NY,112555049201512,1125550492015,,0,-871,0,0.0,,0.0,,A,A23,,A23,A,,WORD,AR,AR,AR,5.0,0.0,0,,0.0,,IN,,0.0,,5600.0,660,,N,0.09072090443760117,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,194102.0,0,0,0,,0.0,,0.0,,13 NY QUEENS DIV,20150.0,16eofinextractez.dat,0,0.0,0.0,NY,20150,8,8,0.0,201512,,0.0,660,660,,0.0,0.0,0.0,0.0,0.0,0.0,11229-4111,11361.0
7085,112803536,7,119.0,0.0,0.0,4602 30TH AVE,3.0,,94453,360810151002000.0,,0.0,36081015100.0,ASTORIA,10.0,0.0,,0,,,2.0,0,1.0,0,13179,,112803536_201607_990EZ,36081.0,2016,,0.0,20.0,89560,0.0,,0.0,,0.0,0,0,,550,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,,40.7619,0.0,0.0,O,O,AR,A,,4893,-73.9116,A,,,0.0,5602.0,710000.0,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,112803536201607,1128035362016,,0,-12629,0,0.0,,0.0,,A,A23,,A23,A,,VER,AR,AR,AR,1.0,0.0,0,,0.0,,IN,,0.0,,5600.0,550,,Y,0.1450982942032305,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,198707.0,0,0,0,,0.0,,0.0,,,20159.0,16eofinextractez.dat,0,0.0,0.0,NY,20159,4,4,0.0,201607,,0.0,550,550,,0.0,0.0,0.0,0.0,0.0,0.0,11103-1264,11103.0
