,CODE990,SUBSECCD,POPCD,EIN,TAXPER,FisYr,CYCLE,DLN,NTEE,ARC,LRC,RESERVED,EOSTATUS,SOIYR,RECCODE,ASS_CODE,INC_CODE,ACTIV,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,REASON,Q78A,SAVINT,SECINC,RENTINC,NETRENT,OTHINVST,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,TOTREV2,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,RETE_BOY,NETA_BOY,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,LOBOTH,LOBNOTAX,GRTNONTX,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,STYEAR,NteeOldA,Confidence,NteeCC4d,FipsOldA,stateOld1,zip5Old1,cityOld1,Nccskey2,Ntee2007a,Confidence2007a,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
1731,1,3,1,30383217,200112,2001,200235,29490180155142,,N,Y,0,40,2001,1,1,3,0,1000,0,0,0,0,0,28544,11915,40459,11915,41459,5149,7766,0,0,0,7766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,N,0,0,0,0,0,0,0,0,0,0,40459,12915,7766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11222.0,BOOKLYN INCORPORATED,,37 GREENPOINT AVENUE,BROOKLYN,NY,11222-1545,0.0,3.0,1.0,200304.0,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,36047.0,5602.0,5600.0,A33,A,PC,O,AR,A,A,IN,,1,AR,AR,AR,0.6147,C,2001,A33,C,,,,,,303832172001,A70,A,PC,O,AR,A,OUT,S,A70,A,710000.0
3481,1,6,1,42977509,200206,2002,200245,29490271226032,,N,Y,0,1,2001,1,4,4,92,14861,77385,0,0,24069,0,0,0,111813,111813,204059,109769,400283,14152,0,326672,400283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20679,0,-6739,73802,0,N,24069,0,0,0,0,0,0,0,0,13940,0,183380,73610,0,0,7241,0,0,0,0,0,326672,0,0,0,0,0,0,0,0,0,0,0,11230.0,SCIENCE FICTION WRITERS OF AMERICA INC,% IAN STROCK,1380 E 17TH ST STE 301,BROOKLYN,NY,11230-6011,0.0,3.0,2.0,198909.0,2.0,0.0,92.0,0.0,0.0,1.0,11.0,0.0,10.0,6,,36047.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.56576,,2001,Z99,B,,36047.0,NY,11230.0,BROOKLYN,429775092002,A0370,A,PC,O,AR,A,IN,,A0370,A,813920.0
6078,1,6,1,60993134,200112,2001,200237,29409236045172,,N,Y,0,1,2001,1,2,3,122,0,14300,0,0,311,0,0,0,21496,21496,35796,35824,22461,0,0,22489,22461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21185,0,N,0,0,0,0,311,0,0,0,0,0,0,35796,-28,0,0,0,0,0,0,0,0,22489,0,0,0,0,0,0,0,0,0,0,0,10150.0,WOMEN EXECUTIVES IN PUBLIC RELATIONS,,PO BOX 7657 FDR STATION,NEW YORK,NY,10150-7657,0.0,3.0,2.0,198005.0,1.0,0.0,122.0,994.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A31,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.3705,N,2001,A31,C,,36061.0,NY,10150.0,NEW YORK,609931342001,A31,C,PC,O,AR,A,IN,,A31,A,512110.0
6526,1,4,1,61420853,200106,2001,200224,29490138105272,,N,Y,0,1,2000,1,4,4,121,318063,0,0,0,6299,0,0,0,57991,57172,376054,367292,234682,2103,0,489699,416424,190004,181742,234682,0,0,0,0,0,0,0,0,0,0,0,0,48738,0,2557,0,N,5647,0,0,0,652,0,397,819,-422,0,0,375235,7943,-72956,143364,0,0,0,0,0,299695,299695,0,0,0,0,0,0,0,0,0,0,0,10111.0,AUSTRALIAN BROADCASTING CORPORATION,,630 FIFTH AVE STE 2220,NEW YORK,NY,10111-0100,0.0,3.0,3.0,199602.0,2.0,0.0,121.0,904.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.19838,,2000,Z99,A,,36061.0,NY,10111.0,NEW YORK,614208532001,A30,A,PC,O,AR,A,IN,,A30,A,510000.0
7564,1,6,1,112022650,200112,2001,200219,29490110043492,,N,Y,0,1,2001,1,3,4,920,0,20600,0,0,0,0,0,0,111256,111256,131856,106345,54360,0,0,28880,54360,31,0,54360,0,0,0,0,0,0,0,0,0,0,0,0,108415,0,2841,0,Y,0,0,0,0,0,0,0,0,0,0,0,131856,25511,0,0,0,0,0,0,0,28849,28849,0,0,0,0,0,0,0,0,0,0,0,10304.0,AUTO BODY CRAFTSMENS GUILD INC,,654 RICHMOND RD,STATEN ISLAND,NY,10304-2428,0.0,3.0,2.0,196506.0,2.0,0.0,920.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36085.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.89815,,2001,Z99,C,,36085.0,NY,10304.0,STATEN ISLAND,1120226502001,A40,A,PC,O,AR,A,IN,,A40,A,710000.0
7816,1,12,1,112579110,200112,2001,200232,29490173115022,,N,Y,0,1,2001,1,2,3,200,0,28527,0,0,0,11351,0,0,0,0,28527,28831,15063,0,0,13866,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,N,0,0,0,0,0,0,0,0,0,0,0,28527,-304,1501,0,0,0,0,0,0,0,13866,0,0,0,0,0,0,0,0,0,0,0,10472.0,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,% CHARLES WEINER,1110 BRONX RIVER AVE,BRONX,NY,10472-3102,0.0,3.0,1.0,198311.0,2.0,0.0,200.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36005.0,5602.0,5600.0,A65,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.5081100000000001,C,2001,A65,C,,36005.0,NY,10472.0,BRONX,1125791102001,A65,C,PC,O,AR,A,IN,,A65,A,711110.0
8175,1,6,1,113238845,200112,2001,200228,29409152147022,,N,Y,0,1,2001,1,3,3,205,10100,9833,0,0,922,0,0,0,23933,23933,43866,29120,54936,0,0,60945,54936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20755,0,1500,756,9,N,0,0,0,0,922,0,0,0,0,22255,0,23111,-6009,0,0,0,0,0,0,0,0,60945,10556,36791,78413,11098,0,0,136858,58445,0,0,0,11379.0,A I A QUEENS INC,% ANTHONY DIPROPERZIO,81 01 FURMANVILLE,MIDDLE VILLAGE,NY,11379-0000,0.0,3.0,2.0,199503.0,2.0,0.0,205.0,0.0,0.0,1.0,11.0,0.0,10.0,12,,36081.0,5602.0,5600.0,A40,A,O,O,AR,A,A,IN,,1,AR,AR,AR,0.80007,C,2001,A40,C,,36081.0,NY,11379.0,MIDDLE VILLAGE,1132388452001,A40,C,PC,O,AR,A,IN,,A40,A,710000.0
8426,1,3,1,113634222,200112,2001,200234,29490167275212,,N,Y,0,40,2001,1,2,3,0,9634,0,0,0,23,0,0,0,61532,61532,71166,76856,-5690,0,0,0,18330,0,24020,0,0,0,0,0,0,0,0,0,0,0,0,0,61509,0,0,9,N,23,0,0,0,0,0,0,0,0,0,0,71166,-5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11211.0,WILLIAMSBURG ART NEXUS INC,HOWARD SELIGMAN,67 METROPOLITAN AVE,BROOKLYN,NY,11211-3932,0.0,3.0,1.0,200404.0,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,12,,36047.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,IN,,Q,AR,AR,AR,0.72614,,2001,Z99,C,,,,,,1136342222001,A51,B,PC,O,AR,A,OUT,S,A60,A,711100.0
8653,1,6,1,130417765,200112,2001,200251,29490327237122,,N,Y,0,1,2001,1,6,7,919,0,1634057,1628578,1634759,47384,0,0,0,4158229,2508772,5792286,4600658,476835,656307,0,2175181,1330317,1225043,853482,0,0,0,0,0,0,0,0,0,0,0,0,0,2482267,0,0,0,Y,12914,34470,0,0,0,-6181,0,14698,-14698,0,0,4142829,-457829,-15474,718424,94393,0,0,0,0,0,950138,0,0,0,0,0,0,0,0,0,0,0,10022.0,ADVERTISING RESEARCH FOUNDATION INC,,641 LEXINGTON AVE 11TH FLR,NEW YORK,NY,10022-4503,0.0,3.0,1.0,194303.0,2.0,0.0,919.0,0.0,0.0,1.0,13.0,0.0,10.0,12,,36061.0,5602.0,5600.0,A30,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.77927,,2001,Z99,C,,36061.0,NY,10022.0,NEW YORK,1304177652001,A03,A,PC,O,AR,A,IN,,A03,A,813920.0
8674,1,6,1,130452445,200106,2001,200217,29490075150272,,N,Y,0,1,2000,1,6,7,59,0,3686299,433587,478103,95842,0,0,0,2040358,1562255,5726657,4173969,1410776,608875,0,2203348,2393520,795137,982744,0,0,0,0,0,0,0,0,0,0,0,0,967549,0,441359,102021,0,N,0,95842,0,0,0,-44516,0,0,0,1408908,0,4281005,107036,-104471,576662,0,0,0,0,0,0,1408211,0,0,0,0,0,0,0,0,0,0,0,10017.0,AMERICAN BUSINESS PRESS INC,,675 THIRD AVE,NEW YORK,NY,10017-5704,0.0,3.0,2.0,193504.0,2.0,0.0,59.0,200.0,0.0,1.0,13.0,0.0,10.0,6,,36061.0,5602.0,5600.0,A01,A,O,O,AR,A,A,IN,,Q,AR,AR,AR,0.78208,,2000,Z99,C,,36061.0,NY,10017.0,NEW YORK,1304524452001,A0330,A,PC,O,AR,A,IN,,S41,S,813910.0
