,EIN,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ASS_CODE,BLOCK,CENSUSTRACT,CITY,CLASSCD,CONTACT,DEDUCTCD,EOSTATUS,FIPS,FISYR,FNDNCD,FRCD,INC_CODE,LATITUDE,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LONGITUDE,MAJGRPB,MANUALLY_FIXED,MSA_NECH,NAICS,NAME,NCCSKEY,NCCSKEY2,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEEFINAL1,NTEEIRS,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,ORGCD,OUTNCCS,OUTREAS,P10MIR,P10TASST,P11DISTR,P13UNDST,P14A4942,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14B4942,P14C4942,P14D4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14T4942,P14TASVL,P14TENDW,P14TGINV,P14TNADJ,P14TPSUP,P14TQDIS,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P1ADMEXP,P1CHAEXP,P1CONTPD,P1DIVID,P1EXCREV,P1GINVPF,P1GOODS,P1GRENTS,P1INTREV,P1INVEXP,P1INVRV,P1NADINC,P1NADJRV,P1NETINV,P1NGASTS,P1OFCOMP,P1OTHINC,P1TADJEX,P1TCONT,P1TEXMEX,P1TINVEX,P1TOTEXP,P1TOTREV,P2CASHBV,P2CRPBND,P2CRPSTK,P2EYASST,P2EYOTIN,P2GVTINV,P2MORTG,P2MTGNTS,P2TASFMV,P2TINVSC,P2TLIABL,P2TOTAST,P3EYTFND,P6DOMORG,P6ESTTX,P6EXMPF,P6TEXCTX,P6TX4940,P6TX511,P6TXCRDT,P6TXINV,P6TXPNLT,P6TXRFD,P6TXSUBA,P6TXWERR,P6TXWTH,P7BUSINT,P7DISBOR,P7DISPAY,P7DISSAL,P7DISSER,P7DISTRA,P7ELECT,P7INDGRT,P7JEOINV,P7LIQUID,P7ORGGRT,P7OTHPUR,P7PAYGVT,P7POFCLM,P7POLIT,P7PROPAG,P7UNDINC,PMSA,RANDNUM,RECCODE,RULEDATE,SEC_NAME,SOURCE,STATE,STYEAR,SUBSECCD,TAXPER,TFLD,VALIDATION_STATE,ZIP,ZIP5
509,112584720,12,602.0,0.0,0.0,360 W 31ST ST RM 1000,3.0,3.0,360610103001011.0,36061010300.0,NEW YORK,10.0,JORDAN H REDNOR,1.0,1,36061.0,2014,4.0,1.0,1.0,40.750957,PF,S,AR,A,-73.996196,A,,5602.0,511100.0,BOOKS FOR ISRAEL INC,112584720201412,1125847202014,A,A33,,A33,A,,BEST,AR,AR,AR,1.0,IN,,3170.0,64357.0,3161.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072,4072.0,5000,450,-7922,0,0.0,0,0,0.0,450.0,0.0,0.0,450.0,0,0.0,0,0.0,700,9072.0,0.0,9072,1150,53674.0,0,450,58837.0,0.0,0,0.0,0.0,58837,450,0.0,54124,54124.0,N,0,N,9,9.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.4507541842535188,N,198112.0,,15eofinextract990pf.dat,NY,2014,3,201412,9,0.0,10001-2871,10001.0
567,112764785,12,602.0,0.0,0.0,14 PENN PLZ STE 1800,3.0,3.0,360610101001004.0,36061010100.0,NEW YORK,10.0,JACK TOPAL,1.0,1,36061.0,2014,4.0,1.0,2.0,40.7492,PF,S,AR,A,-73.9921,A,,5602.0,710000.0,ARLENE TOPAL CREATIVE ARTS FIND INC,112764785201412,1127647852014,A,A99,,A99,A,A90,WORD,AR,AR,AR,1.0,IN,,2211.0,44894.0,2211.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17000,0,-8174,0,0.0,0,26,0.0,26.0,0.0,0.0,26.0,0,0.0,0,0.0,8800,17000.0,0.0,17000,8826,9824.0,0,0,40807.0,0.0,0,0.0,0.0,40807,0,1.0,40807,40807.0,Y,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.4329296536348093,N,201211.0,,15eofinextract990pf.dat,NY,2014,3,201412,0,0.0,10122-1800,10122.0
610,112864409,2,602.0,0.0,0.0,445 E 80TH ST APT 4A,3.0,1.0,360610136003001.0,36061013600.0,NEW YORK,10.0,,1.0,1,36061.0,2015,4.0,1.0,0.0,40.7727,PF,S,ZB,A,-73.9513,A,,5602.0,813219.0,THE PHILIP KAPLAN CULTURAL FOUNDATION INC,112864409201502,1128644092015,A,A122,,A1220,A,,BEST,AR,AR,AR,1.0,IN,,157.0,3194.0,157.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65.0,300,0,-365,0,0.0,0,0,65.0,0.0,0.0,0.0,0.0,0,0.0,0,65.0,0,365.0,65.0,365,0,3194.0,0,0,3194.0,0.0,0,0.0,0.0,3194,0,0.0,3194,3194.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.5824562739287548,N,198709.0,,15eofinextract990pf.dat,NY,2014,3,201502,0,0.0,10075-0603,10075.0
637,112948645,6,602.0,0.0,0.0,14107 20TH AVE STE 602,3.0,4.0,360811039002008.0,36081103900.0,WHITESTONE,10.0,,1.0,1,36081.0,2015,4.0,1.0,1.0,40.780797,PF,S,AR,A,-73.817045,A,,5602.0,511100.0,WORLD JOURNAL CULTURE FOUNDATION INC,112948645201506,1129486452015,A,A33,,A33,A,,BEST,AR,AR,AR,1.0,IN,,11468.0,232853.0,11464.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10474,10474.0,22350,0,-32376,0,0.0,0,448,0.0,448.0,0.0,0.0,448.0,0,0.0,0,0.0,0,32824.0,0.0,32824,448,12458.0,0,0,214940.0,0.0,0,0.0,0.0,214940,0,1.0,214940,214940.0,Y,539,N,4,4.0,0.0,535.0,0,0,535,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.4435731825798007,N,198909.0,,15eofinextract990pf.dat,NY,2014,3,201506,-535,0.0,11357-3097,11357.0
720,113137086,12,560.0,0.0,0.0,8709 CLIO ST,3.0,1.0,,36081047800.0,HOLLIS,10.0,BARBARA WOHL,1.0,1,36081.0,2014,4.0,1.0,2.0,40.7193,PF,S,AR,A,-73.7691,A,,5602.0,710000.0,J Z L FOUNDATION,113137086201412,1131370862014,A,A99,,A99,A,A99Z,IRS,AR,AR,AR,2.0,IN,,203.0,4120.0,203.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0.0,1108,0,896,0,0.0,0,4,3000.0,4.0,0.0,4.0,0.0,0,0.0,0,3000.0,5000,1108.0,3000.0,4108,5004,4568.0,0,0,4568.0,0.0,0,0.0,0.0,4568,0,1.0,4568,4568.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.4832900288243854,N,199508.0,,15eofinextract990pf.dat,NY,2014,3,201412,0,0.0,11423-1229,11423.0
782,113227149,6,91.0,149.0,59.0,195 COLUMBIA ST,3.0,3.0,360470051001002.0,36047005100.0,BROOKLYN,30.0,,1.0,1,36047.0,2015,3.0,1.0,4.0,40.6854,PF,O,AR,A,-74.0024,A,,5602.0,710000.0,CLAYWORKS ON COLUMBIA INC,113227149201506,1132271492015,A,A40,,A40,A,A47P,IRS,AR,AR,AR,1.0,IN,,3898.0,79144.0,0.0,0.0,120459,83661,72981,65632,39620,105240,79446,66053,0,0,0,0,0,0,0,0,10679,7349,2555,1789,0,0,0,0,120459,105240,79443,66053,371195,261894,0,0,22372,0,371195,0,0,0,0,0,119959,119950.0,500,0,10679,0,0.0,0,0,0.0,0.0,11179.0,131138.0,0.0,0,18500.0,131138,119959.0,0,120459.0,0.0,120459,131138,83660.0,0,0,83660.0,0.0,0,0.0,0.0,83661,0,0.0,83660,83660.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.7099974575807302,Y,199612.0,,15eofinextract990pf.dat,NY,2014,3,201506,0,0.0,11231-1402,11231.0
851,113309848,12,994.0,64.0,0.0,131 W 35TH ST FL 8,3.0,5.0,360610109001007.0,36061010900.0,NEW YORK,10.0,ELIZABETH J SALEN,1.0,1,36061.0,2014,4.0,1.0,1.0,40.751,PF,S,AR,A,-73.9882,A,,5602.0,710000.0,PAUL ROBESON FOUNDATION INC,113309848201412,1133098482014,A,A70,,A70,A,A700,NEW,AR,AR,AR,1.0,IN,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5583,0.0,0,0,-2468,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3115,0.0,0.0,5583,3115,4188.0,0,0,226732.0,22785.0,0,0.0,0.0,226732,0,364014.0,226732,-137282.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.31915741856374225,N,199610.0,,15eofinextract990pf.dat,NY,2014,3,201412,0,0.0,10001-2111,10001.0
868,113343213,9,0.0,0.0,0.0,201 EASTERN PARKWAY,3.0,1.0,360470213001002.0,36047021300.0,BROOKLYN,10.0,ROY & SHERRY & SUSAN W DECARAVA,1.0,1,36047.0,2014,3.0,1.0,1.0,40.6715,PF,O,AR,A,-73.9626,A,,5602.0,611610.0,ROY AND SHERRY DECARAVA FOUNDATION,113343213201409,1133432132014,A,A25,,A25,A,A25,IRS,AR,AR,AR,2.0,IN,,51.0,1045.0,0.0,0.0,4927,4927,2793,9254,8926,2793,9254,8926,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,2647,610,0,0,25900,25900,0,0,119,0,3257,0,0,0,0,0,3266,2647.0,0,0,2134,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5400,2647.0,0.0,3266,5400,2652.0,0,0,5827.0,0.0,0,0.0,0.0,5827,0,1.0,4927,4927.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,5600.0,0.1978462565714444,Y,199904.0,,15eofinextract990pf.dat,NY,2013,3,201409,0,0.0,11238-6141,11238.0
946,113388258,12,994.0,561.0,0.0,36 EAST 30TH STREET,3.0,3.0,360610074003003.0,36061007400.0,NEW YORK,20.0,LTI,1.0,1,36061.0,2014,4.0,1.0,4.0,40.7451,PF,S,ZB,A,-73.9847,A,,5602.0,813219.0,PENUMBRA FOUNDATION,113388258201412,1133882582014,A,A126,,A1261,A,A42Z,BEST,AR,AR,AR,1.0,IN,,2787.0,56595.0,2552.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233019,243360.0,0,0,-3664,0,0.0,23496,0,0.0,23496.0,151134.0,151134.0,23496.0,0,0.0,151134,0.0,54725,243360.0,0.0,233019,229355,54786.0,0,0,54786.0,0.0,0,0.0,0.0,54786,0,1473.0,54786,53313.0,Y,0,N,235,235.0,0.0,0.0,235,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.19677654505119854,N,199710.0,,15eofinextract990pf.dat,NY,2014,3,201412,0,0.0,10016-7394,10016.0
1082,113472708,12,0.0,0.0,0.0,11816 101ST AVE,3.0,1.0,360810158023004.0,36081015802.0,S RICHMOND HL,10.0,JAMES STRUHS,1.0,1,36081.0,2014,4.0,1.0,1.0,40.6868,PF,S,AR,A,-73.82300000000001,A,,5602.0,513120.0,SILENT VOICES INC,113472708201412,1134727082014,A,A32,,A32,A,A32,IRS,AR,AR,AR,1.0,IN,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,0.0,0,0,1.0,0.0,0,0.0,0.0,0,0,0.0,1,0.0,N,0,N,0,0.0,0.0,0.0,0,0,0,0.0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5600.0,0.12071644947825523,N,199908.0,,15eofinextract990pf.dat,NY,2014,3,201412,0,0.0,11419-1230,11419.0
